country,year,suicides_no,suicides/100k pop
France,1987,12161.0,27.585833333333337
France,1988,11599.0,26.060000000000002
France,1989,11715.0,26.044166666666666
France,1990,11403.0,25.227500000000003
France,1991,11502.0,24.84166666666667
France,1992,11644.0,25.1225
France,1993,12251.0,26.0575
France,1994,12041.0,24.995833333333334
France,1995,11819.0,24.385
France,1996,11279.0,22.601666666666663
France,1997,11139.0,22.194166666666664
France,1998,10534.0,21.1375
France,1999,10268.0,20.485833333333332
France,2000,10849.0,21.435833333333335
France,2001,10449.0,19.995
France,2002,10643.0,19.886666666666667
France,2003,10871.0,20.109166666666667
France,2004,10804.0,19.375833333333336
France,2005,10713.0,19.340833333333332
France,2006,10423.0,18.385833333333334
France,2007,10127.0,17.8075
France,2008,10353.0,18.017500000000002
France,2009,10499.0,18.02
France,2010,10379.0,17.5975
France,2011,10408.0,17.598333333333333
France,2012,9743.0,16.581666666666667
France,2013,9600.0,16.0275
France,2014,8881.0,14.963333333333333
Georgia,1990,769.3820468159225,5.3691666666666675
Georgia,1991,460.69102340796127,4.420833333333333
Georgia,1992,777.3820468159225,5.04
Georgia,1994,696.3820468159225,3.108333333333333
Georgia,1995,424.69102340796127,3.395
Georgia,1996,448.69102340796127,4.9750000000000005
Georgia,1997,462.69102340796127,5.054166666666666
Georgia,1998,721.3820468159225,4.108333333333333
Georgia,1999,762.3820468159225,5.715
Georgia,2000,990.0730702238839,3.8866666666666667
Georgia,2001,673.3820468159225,2.9324999999999997
Georgia,2004,175.0,5.545000000000001
Georgia,2005,373.69102340796127,2.3633333333333333
Georgia,2006,72.0,1.9591666666666667
Georgia,2007,677.3820468159225,3.049166666666667
Georgia,2009,188.0,5.421666666666667
Georgia,2010,972.0730702238839,2.8608333333333333
Georgia,2011,385.69102340796127,3.025833333333333
Georgia,2012,390.69102340796127,2.9066666666666667
Georgia,2013,157.0,4.630833333333333
Georgia,2014,767.3820468159225,6.2075
Georgia,2015,478.69102340796127,7.056666666666666
Germany,1990,13924.0,21.620833333333334
Germany,1991,14010.0,21.50916666666667
Germany,1992,13458.0,20.836666666666666
Germany,1993,12690.0,19.625
Germany,1994,12718.0,19.232499999999998
Germany,1995,12888.0,19.465
Germany,1996,12225.0,18.035
Germany,1997,12256.0,17.580000000000002
Germany,1998,11654.0,16.709166666666665
Germany,1999,11160.0,15.770000000000001
Germany,2000,11073.0,15.4625
Germany,2001,11167.0,15.481666666666667
Germany,2002,11176.0,15.33
Germany,2003,11155.0,15.103333333333333
Germany,2004,10741.0,14.3525
Germany,2005,10270.0,13.457500000000001
Germany,2006,9775.0,12.71
Germany,2007,9409.0,12.21
Germany,2008,9459.0,12.126666666666667
Germany,2009,9579.0,12.126666666666667
Germany,2010,10030.0,12.680833333333334
Germany,2011,10153.0,12.735
Germany,2012,9896.0,12.359166666666667
Germany,2013,10091.0,12.756666666666666
Germany,2014,10217.0,12.753333333333332
Germany,2015,10088.0,12.528333333333334
Greece,1985,978.3820468159225,4.8475
Greece,1986,966.3820468159225,5.100833333333333
Greece,1987,410.0,5.255
Greece,1988,976.3820468159225,5.01
Greece,1989,669.6910234079612,4.5441666666666665
Greece,1990,635.6910234079612,4.2908333333333335
Greece,1991,667.6910234079612,4.5475
Greece,1992,637.6910234079612,4.0775
Greece,1993,412.0,4.425
Greece,1994,641.6910234079612,3.9033333333333338
Greece,1995,943.3820468159225,4.14
Greece,1996,929.3820468159225,3.7608333333333337
Greece,1997,660.6910234079612,3.971666666666667
Greece,1998,689.6910234079612,4.0225
Greece,1999,954.3820468159225,3.811666666666667
Greece,2000,668.6910234079612,3.7383333333333333
Greece,2001,334.0,3.234166666666667
Greece,2002,896.3820468159225,3.1958333333333333
Greece,2003,661.6910234079612,3.3891666666666667
Greece,2004,639.6910234079612,3.41
Greece,2005,686.6910234079612,3.8775
Greece,2006,680.6910234079612,3.784166666666667
Greece,2007,614.6910234079612,2.825833333333333
Greece,2008,1233.0730702238839,3.358333333333333
Greece,2009,964.3820468159225,3.4141666666666666
Greece,2010,950.3820468159225,3.3249999999999997
Greece,2011,1050.3820468159224,4.056666666666667
Greece,2012,794.6910234079612,4.443333333333333
Greece,2013,819.6910234079612,4.5925
Greece,2014,851.6910234079612,4.985
Greece,2015,1102.3820468159224,4.671666666666667
Grenada,1985,3154.601257487574,2.09
Grenada,1988,2584.2192106716516,3.9000000000000004
Grenada,1989,2584.2192106716516,5.424166666666667
Grenada,1990,2868.9102340796126,2.0625
Grenada,1991,3440.2922808955354,0.0
Grenada,1992,3440.2922808955354,0.0
Grenada,1993,2869.9102340796126,2.8508333333333336
Grenada,1994,2870.9102340796126,5.068333333333333
Grenada,1995,3154.601257487574,4.329166666666667
Grenada,1996,3154.601257487574,0.9966666666666667
Grenada,2001,3440.2922808955354,0.0
Grenada,2002,3440.2922808955354,0.0
Grenada,2003,2870.9102340796126,5.765000000000001
Grenada,2004,3154.601257487574,1.1141666666666665
Grenada,2005,2012.837163855729,13.401666666666666
Grenada,2006,3154.601257487574,0.8241666666666667
Grenada,2007,2583.2192106716516,4.028333333333333
Grenada,2008,3440.2922808955354,0.0
Grenada,2009,3440.2922808955354,0.0
Grenada,2010,3440.2922808955354,0.0
Grenada,2011,3154.601257487574,1.7275
Grenada,2012,2868.9102340796126,1.5008333333333332
Grenada,2013,3440.2922808955354,0.0
Grenada,2014,3440.2922808955354,0.0
Grenada,2015,3440.2922808955354,0.0
Grenada,2016,2866.9102340796126,0.0
Guatemala,1986,776.3820468159225,3.5700000000000003
Guatemala,1987,241.0,4.826666666666667
Guatemala,1988,460.69102340796127,3.936666666666667
Guatemala,1989,725.3820468159225,2.935833333333333
Guatemala,1990,444.69102340796127,2.839166666666667
Guatemala,1991,729.3820468159225,2.7933333333333334
Guatemala,1992,746.3820468159225,3.1875
Guatemala,1993,451.69102340796127,2.5974999999999997
Guatemala,1994,428.69102340796127,2.158333333333333
Guatemala,1995,211.0,2.8441666666666667
Guatemala,1996,443.69102340796127,2.504166666666667
Guatemala,1997,465.69102340796127,2.2091666666666665
Guatemala,1998,201.0,3.0883333333333334
Guatemala,1999,520.6910234079612,3.0416666666666665
Guatemala,2000,468.69102340796127,2.2849999999999997
Guatemala,2001,488.69102340796127,2.549166666666667
Guatemala,2002,258.0,3.3775
Guatemala,2003,539.6910234079612,3.111666666666667
Guatemala,2004,536.6910234079612,2.4941666666666666
Guatemala,2005,524.6910234079612,2.7175
Guatemala,2006,298.0,3.4958333333333336
Guatemala,2007,327.0,3.3558333333333334
Guatemala,2008,778.6910234079612,4.5633333333333335
Guatemala,2009,797.6910234079612,4.7975
Guatemala,2010,638.6910234079612,2.9525
Guatemala,2011,359.0,2.890833333333333
Guatemala,2012,420.0,3.483333333333333
Guatemala,2013,741.6910234079612,3.390833333333333
Guatemala,2014,798.6910234079612,3.8233333333333337
Guatemala,2015,494.0,3.7375000000000003
Guyana,1988,1202.764093631845,7.66
Guyana,1989,380.69102340796127,15.406666666666666
Guyana,1990,375.69102340796127,14.755
Guyana,1991,678.3820468159225,19.403333333333332
Guyana,1992,78.0,15.179166666666667
Guyana,1993,932.0730702238839,9.734166666666667
Guyana,1994,659.3820468159225,13.516666666666666
Guyana,1995,959.0730702238839,17.393333333333334
Guyana,1996,920.0730702238839,10.6925
Guyana,1997,1473.4551170398063,6.8875
Guyana,1998,1468.4551170398063,5.405
Guyana,1999,163.0,26.135
Guyana,2001,770.3820468159225,31.73
Guyana,2002,462.69102340796127,25.99416666666667
Guyana,2003,198.0,31.878333333333334
Guyana,2004,186.0,33.333333333333336
Guyana,2005,455.69102340796127,27.83
Guyana,2006,487.69102340796127,32.88333333333333
Guyana,2007,185.0,31.145833333333332
Guyana,2008,454.69102340796127,29.468333333333334
Guyana,2009,156.0,25.14833333333333
Guyana,2010,491.69102340796127,33.589166666666664
Guyana,2011,192.0,29.1275
Guyana,2012,492.69102340796127,30.665000000000003
Guyana,2013,496.69102340796127,29.698333333333334
Hungary,1991,3993.0,47.916666666666664
Hungary,1992,4000.0,47.52166666666667
Hungary,1993,3694.0,44.94
Hungary,1994,3625.0,44.65083333333333
Hungary,1995,3652.6910234079614,41.11833333333333
Hungary,1996,3436.0,40.22833333333333
Hungary,1997,3208.0,39.20333333333333
Hungary,1998,3531.6910234079614,36.39833333333333
Hungary,1999,3326.0,40.32333333333333
Hungary,2000,3269.0,38.71333333333333
Hungary,2001,2978.0,34.08166666666667
Hungary,2002,2839.0,31.895833333333332
Hungary,2003,3086.6910234079614,31.003333333333334
Hungary,2004,2742.0,30.789166666666663
Hungary,2005,2905.6910234079614,29.334166666666665
Hungary,2006,2461.0,26.054999999999996
Hungary,2007,2736.6910234079614,27.276666666666667
Hungary,2008,2762.6910234079614,27.64
Hungary,2009,2460.0,25.893333333333334
Hungary,2010,2489.0,26.775833333333335
Hungary,2011,2420.0,24.9875
Hungary,2012,2635.6910234079614,25.496666666666666
Hungary,2013,2378.6910234079614,22.185833333333335
Hungary,2014,2211.6910234079614,20.359166666666667
Hungary,2015,1868.0,21.439166666666665
Hungary,2016,1761.0,24.134
Iceland,1985,1465.4551170398063,14.254166666666668
Iceland,1986,323.69102340796127,17.925
Iceland,1987,896.0730702238839,17.495
Iceland,1988,1181.764093631845,13.998333333333335
Iceland,1989,1455.4551170398063,9.176666666666668
Iceland,1990,1473.4551170398063,15.025833333333333
Iceland,1991,897.0730702238839,16.644166666666667
Iceland,1992,1461.4551170398063,10.240833333333333
Iceland,1993,1459.4551170398063,9.084999999999999
Iceland,1994,1458.4551170398063,10.453333333333333
Iceland,1995,1173.764093631845,10.805
Iceland,1996,606.3820468159225,14.779166666666667
Iceland,1997,893.0730702238839,13.668333333333335
Iceland,1998,890.0730702238839,11.7575
Iceland,1999,891.0730702238839,10.743333333333332
Iceland,2000,1483.4551170398063,17.3325
Iceland,2001,1182.764093631845,13.588333333333333
Iceland,2002,890.0730702238839,10.936666666666667
Iceland,2003,1459.4551170398063,8.414166666666667
Iceland,2004,895.0730702238839,14.0675
Iceland,2005,1753.1461404477677,9.583333333333334
Iceland,2006,1465.4551170398063,8.865833333333333
Iceland,2007,610.3820468159225,13.6075
Iceland,2008,1184.764093631845,11.340833333333334
Iceland,2009,1469.4551170398063,10.310833333333333
Iceland,2010,619.3820468159225,15.355833333333335
Iceland,2011,887.0730702238839,7.745833333333334
Iceland,2012,897.0730702238839,12.1175
Iceland,2013,909.0730702238839,18.436666666666667
Iceland,2014,617.3820468159225,16.496666666666666
Iceland,2015,1186.764093631845,11.720833333333333
Iceland,2016,900.0730702238839,13.806999999999999
Ireland,1985,562.6910234079612,8.513333333333334
Ireland,1986,568.6910234079612,8.74
Ireland,1987,531.6910234079612,7.951666666666667
Ireland,1988,839.3820468159225,9.436666666666666
Ireland,1989,851.3820468159225,9.213333333333333
Ireland,1990,620.6910234079612,10.473333333333334
Ireland,1991,918.3820468159225,10.544166666666667
Ireland,1992,648.6910234079612,11.489166666666668
Ireland,1993,612.6910234079612,9.7625
Ireland,1994,680.6910234079612,11.901666666666666
Ireland,1995,403.0,11.986666666666666
Ireland,1996,694.6910234079612,12.128333333333332
Ireland,1997,752.6910234079612,13.012500000000001
Ireland,1998,498.0,13.514166666666666
Ireland,1999,424.0,11.768333333333333
Ireland,2000,749.6910234079612,11.863333333333335
Ireland,2001,774.6910234079612,12.414166666666667
Ireland,2002,449.0,11.318333333333333
Ireland,2003,454.0,11.230833333333335
Ireland,2004,750.6910234079612,10.785000000000002
